ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
5,Melbourne,Australian Open,1/20/2026,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Mochizuki S.,35,112,1455,547,4,6,6,3,6,2,6,2,,,3,1,Completed,1.11,6.5,,,1.15,7,1.12,5.96,1.14,7.6
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Marozsan F.,Majchrzak K.,47,59,1065,918,6,3,6,4,7,6,,,,,3,0,Completed,1.57,2.38,,,1.65,2.38,1.59,2.33,1.67,2.46
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Cerundolo F.,Dzumhur D.,21,66,2035,837,6,3,6,2,6,1,,,,,3,0,Completed,1.2,4.5,,,1.22,4.75,1.2,4.41,1.22,5.1
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Paul T.,Tirante T.A.,20,103,2050,605,6,3,6,4,6,2,,,,,3,0,Completed,1.07,9,,,1.1,9,1.08,7.83,1.1,10
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Rublev A.,Faria J.,15,151,2600,413,6,4,6,3,4,6,7,5,,,3,1,Completed,1.1,7,,,1.12,7.5,1.1,6.54,1.13,8
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Medvedev D.,Halys Q.,12,83,2910,725,6,7,6,3,6,4,6,2,,,3,1,Completed,1.1,7,,,1.12,7.5,1.1,6.55,1.14,7.8
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Etcheverry T.,Fery A.,62,186,895,316,7,6,6,1,6,3,,,,,3,0,Completed,1.62,2.3,,,1.63,2.35,1.6,2.29,1.7,2.42
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Davidovich Fokina A.,Opelka R.,14,63,2635,873,6,3,7,6,5,7,4,6,6,4,3,2,Completed,1.4,3,,,1.44,3,1.4,2.89,1.43,3.25
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Alcaraz C.,Hanfmann Y.,1,102,12050,611,7,6,6,3,6,2,,,,,3,0,Completed,1.01,26,,,1.02,29,1.01,19.31,1.01,55
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Borges N.,Thompson J.,46,111,1070,548,6,7,6,3,6,2,6,4,,,3,1,Completed,1.53,2.5,,,1.67,2.53,1.55,2.43,1.53,2.84
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Moutet C.,Zheng M.,37,174,1383,337,3,6,6,1,6,3,2,0,,,2,1,Retired,1.62,2.3,,,1.67,2.35,1.64,2.24,1.74,2.32
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Tien L.,Shevchenko A.,29,97,1540,650,6,2,5,7,6,1,6,0,,,3,1,Completed,1.17,5,,,1.21,5.25,1.18,4.71,1.21,5.4
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Norrie C.,Nava E.,27,89,1553,683,6,1,7,6,4,6,7,6,,,3,1,Completed,1.44,2.75,,,1.44,2.9,1.42,2.83,1.51,2.96
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Bublik A.,Fucsovics M.,10,54,3065,967,7,5,6,4,7,5,,,,,3,0,Completed,1.2,4.5,,,1.2,5,1.2,4.48,1.21,5.7
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Muller A.,3,52,5105,980,6,3,4,6,6,3,6,4,,,3,1,Completed,1.05,11,,,1.06,11,1.05,9.98,1.05,17
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,De Minaur A.,Medjedovic H.,6,90,4080,681,6,7,6,2,6,2,6,1,,,3,1,Completed,1.13,6,,,1.15,6,1.14,5.5,1.16,6.8
5,Melbourne,Australian Open,1/21/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Tiafoe F.,Comesana F.,34,68,1500,829,6,4,6,3,4,6,6,2,,,3,1,Completed,1.4,3,,,1.44,3,1.4,2.91,1.45,3.15
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Vacherot V.,Hijikata R.,31,114,1519,542,6,1,6,3,4,6,6,2,,,3,1,Completed,1.5,2.63,,,1.54,2.63,1.51,2.53,1.54,2.82
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Mensik J.,Jodar R.,17,150,2345,418,6,2,6,4,6,4,,,,,3,0,Completed,1.44,2.75,,,1.55,2.75,1.52,2.5,1.63,2.58
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Darderi L.,Baez S.,25,36,1599,1390,6,3,1,6,6,4,6,3,,,3,1,Completed,2.5,1.53,,,2.5,1.6,2.38,1.56,2.44,1.68
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Khachanov K.,Basavareddy N.,18,242,2320,230,6,1,6,4,6,3,,,,,3,0,Completed,1.29,3.75,,,1.34,3.8,1.3,3.46,1.33,3.85
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Musetti L.,Sonego L.,5,40,4105,1240,6,3,6,3,6,4,,,,,3,0,Completed,1.36,3.2,,,1.4,3.25,1.36,3.09,1.38,3.6
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Shelton B.,Sweeny D.,7,182,4000,325,6,3,6,2,6,2,,,,,3,0,Completed,1.06,10,,,1.09,10,1.07,8.06,1.08,12
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Quinn E.,Hurkacz H.,80,55,733,965,6,4,7,6,6,1,,,,,3,0,Completed,4,1.25,,,4,1.26,3.9,1.24,4.2,1.29
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Maestrelli F.,4,141,4780,436,6,3,6,2,6,2,,,,,3,0,Completed,1.01,29,,,1.02,29,1.01,17.12,1.03,32
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Van De Zandschulp B.,Shang J.,75,318,759,165,7,6,6,2,6,3,,,,,3,0,Completed,2.3,1.62,,,2.3,1.7,2.22,1.64,2.3,1.73
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Spizzirri E.,Wu Y.,85,168,725,347,6,2,6,4,6,7,4,6,6,3,3,2,Completed,1.67,2.2,,,1.7,2.21,1.67,2.17,1.72,2.34
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Gea A.,139,198,437,300,4,6,6,3,3,6,7,5,7,6,3,2,Completed,2.5,1.53,,,2.5,1.58,2.4,1.55,2.56,1.63
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Machac T.,Tsitsipas S.,24,35,1610,1455,6,4,3,6,7,6,7,6,,,3,1,Completed,1.67,2.2,,,1.7,2.45,1.59,2.32,1.65,2.52
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Shapovalov D.,70,23,790,1650,6,4,6,3,6,2,,,,,3,0,Completed,2.2,1.67,,,2.3,1.7,2.21,1.65,2.4,1.7
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Fritz T.,Kopriva V.,9,101,3840,626,6,1,6,4,7,6,,,,,3,0,Completed,1.08,8,,,1.09,8.5,1.08,7.73,1.1,10
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Sinner J.,Duckworth J.,2,88,11500,694,6,1,6,4,6,2,,,,,3,0,Completed,1,51,,,1.01,51,1.01,22.15,1.01,90
5,Melbourne,Australian Open,1/22/2026,Grand Slam,Outdoor,Hard,2nd Round,5,Ruud C.,Munar J.,13,39,2795,1335,6,3,7,5,6,4,,,,,3,0,Completed,1.4,3,,,1.42,3.1,1.39,2.92,1.44,3.25
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Tien L.,Borges N.,29,46,1540,1070,7,6,6,4,6,2,,,,,3,0,Completed,1.4,3,,,1.44,3,1.42,2.82,1.46,3.1
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Medvedev D.,Marozsan F.,12,47,2910,1065,6,7,4,6,7,5,6,0,6,3,3,2,Completed,1.17,5,,,1.19,5,1.18,4.67,1.22,5.4
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Paul T.,Davidovich Fokina A.,20,14,2050,2635,6,1,6,1,,,,,,,2,0,Retired,1.44,2.75,,,1.5,2.8,1.47,2.65,1.54,2.8
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Alcaraz C.,Moutet C.,1,37,12050,1383,6,2,6,4,6,1,,,,,3,0,Completed,1.01,21,,,1.02,23,1.01,17.54,1.03,32
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Cerundolo F.,Rublev A.,21,15,2035,2600,6,3,7,6,6,3,,,,,3,0,Completed,2.1,1.73,,,2.2,1.75,2.1,1.72,2.26,1.78
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,De Minaur A.,Tiafoe F.,6,34,4080,1500,6,3,6,4,7,5,,,,,3,0,Completed,1.17,5,,,1.18,5.1,1.17,4.8,1.19,6
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Zverev A.,Norrie C.,3,27,5105,1553,7,5,4,6,6,3,6,1,,,3,1,Completed,1.2,4.5,,,1.22,5.25,1.21,4.35,1.23,5.1
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Bublik A.,Etcheverry T.,10,62,3065,895,7,6,7,6,6,4,,,,,3,0,Completed,1.2,4.5,,,1.25,4.5,1.22,4.12,1.25,4.9
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Musetti L.,Machac T.,5,24,4105,1610,5,7,6,4,6,2,5,7,6,2,3,2,Completed,1.5,2.63,,,1.54,2.63,1.5,2.52,1.56,2.74
5,Melbourne,Australian Open,1/23/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Darderi L.,Khachanov K.,25,18,1599,2320,7,6,3,6,6,3,6,4,,,3,1,Completed,4.5,1.2,,,4.5,1.23,4.26,1.21,4.8,1.25
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Sinner J.,Spizzirri E.,2,85,11500,725,4,6,6,3,6,4,6,4,,,3,1,Completed,-,41,,,1.01,67,1.01,33.15,1.01,70
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Shelton B.,Vacherot V.,7,31,4000,1519,6,4,6,4,7,6,,,,,3,0,Completed,1.22,4.33,,,1.29,4.33,1.23,4.04,1.26,4.7
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Fritz T.,Wawrinka S.,9,139,3840,437,7,6,2,6,6,4,6,4,,,3,1,Completed,1.08,8,,,1.09,8.5,1.08,7.48,1.1,10
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Van De Zandschulp B.,4,75,4780,759,6,3,6,4,7,6,,,,,3,0,Completed,1.06,10,,,1.08,10,1.07,8.23,1.08,12
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Mensik J.,Quinn E.,17,80,2345,733,6,2,7,6,7,6,,,,,3,0,Completed,1.44,2.75,,,1.48,2.75,1.45,2.69,1.53,2.88
5,Melbourne,Australian Open,1/24/2026,Grand Slam,Outdoor,Hard,3rd Round,5,Ruud C.,Cilic M.,13,70,2795,790,6,4,6,4,3,6,7,5,,,3,1,Completed,1.33,3.4,,,1.4,3.4,1.35,3.14,1.38,3.55
5,Melbourne,Australian Open,1/25/2026,Grand Slam,Outdoor,Hard,4th Round,5,Alcaraz C.,Paul T.,1,20,12050,2050,7,6,6,4,7,5,,,,,3,0,Completed,1.08,8,,,1.12,8,1.09,6.94,1.11,9.2
5,Melbourne,Australian Open,1/25/2026,Grand Slam,Outdoor,Hard,4th Round,5,Zverev A.,Cerundolo F.,3,21,5105,2035,6,2,6,4,6,4,,,,,3,0,Completed,1.36,3.2,,,1.4,3.25,1.35,3.12,1.38,3.55
5,Melbourne,Australian Open,1/25/2026,Grand Slam,Outdoor,Hard,4th Round,5,Tien L.,Medvedev D.,29,12,1540,2910,6,4,6,0,6,3,,,,,3,0,Completed,2.75,1.44,,,3,1.48,2.75,1.43,3.05,1.47
5,Melbourne,Australian Open,1/25/2026,Grand Slam,Outdoor,Hard,4th Round,5,De Minaur A.,Bublik A.,6,10,4080,3065,6,4,6,1,6,1,,,,,3,0,Completed,1.53,2.5,,,1.6,2.55,1.55,2.41,1.59,2.66
5,Melbourne,Australian Open,1/26/2026,Grand Slam,Outdoor,Hard,4th Round,5,Musetti L.,Fritz T.,5,9,4105,3840,6,2,7,5,6,4,,,,,3,0,Completed,2.1,1.73,,,2.15,1.75,2.1,1.72,2.2,1.82
5,Melbourne,Australian Open,1/26/2026,Grand Slam,Outdoor,Hard,4th Round,5,Sinner J.,Darderi L.,2,25,11500,1599,6,1,6,3,7,6,,,,,3,0,Completed,1.01,26,,,1.02,26,1.02,16.08,1.03,29
5,Melbourne,Australian Open,1/26/2026,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Mensik J.,4,17,4780,2345,,,,,,,,,,,,,Walkover,1.25,4,,,1.29,4,1.26,3.72,1.29,4.2
5,Melbourne,Australian Open,1/26/2026,Grand Slam,Outdoor,Hard,4th Round,5,Shelton B.,Ruud C.,7,13,4000,2795,3,6,6,4,6,3,6,4,,,3,1,Completed,1.53,2.5,,,1.55,2.6,1.53,2.47,1.58,2.7
5,Melbourne,Australian Open,1/27/2026,Grand Slam,Outdoor,Hard,Quarterfinals,5,Zverev A.,Tien L.,3,29,5105,1540,6,3,6,7,6,1,7,6,,,3,1,Completed,1.44,2.75,,,1.5,2.9,1.44,2.75,1.47,3.1
5,Melbourne,Australian Open,1/27/2026,Grand Slam,Outdoor,Hard,Quarterfinals,5,Alcaraz C.,De Minaur A.,1,6,12050,4080,7,5,6,2,6,1,,,,,3,0,Completed,1.14,5.5,,,1.16,6,1.14,5.39,1.17,6.6
5,Melbourne,Australian Open,1/28/2026,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Musetti L.,4,5,4780,4105,4,6,3,6,3,1,,,,,0,2,Retired,1.3,3.5,,,1.35,4,1.31,3.38,1.38,3.55
5,Melbourne,Australian Open,1/28/2026,Grand Slam,Outdoor,Hard,Quarterfinals,5,Sinner J.,Shelton B.,2,7,11500,4000,6,3,6,4,6,4,,,,,3,0,Completed,1.08,8,,,1.1,8.5,1.08,7.42,1.11,9.4
5,Melbourne,Australian Open,1/30/2026,Grand Slam,Outdoor,Hard,Semifinals,5,Alcaraz C.,Zverev A.,1,3,12050,5105,6,4,7,6,6,7,6,7,7,5,3,2,Completed,1.14,5.5,,,1.19,5.5,1.16,5.19,1.2,5.9
5,Melbourne,Australian Open,1/30/2026,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Sinner J.,4,2,4780,11500,3,6,6,3,4,6,6,4,6,4,3,2,Completed,10,1.06,,,10,1.08,8.63,1.07,10,1.1
5,Melbourne,Australian Open,2/1/2026,Grand Slam,Outdoor,Hard,The Final,5,Alcaraz C.,Djokovic N.,1,4,12050,4780,2,6,6,2,6,3,7,5,,,3,1,Completed,1.3,3.5,,,1.33,3.8,1.31,3.44,1.36,3.7
6,Montpellier,Open Sud de France,2/2/2026,ATP250,Indoor,Hard,1st Round,3,Mannarino A.,Martinez P.,70,77,810,728,7,6,6,1,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.32,1.61,2.25,1.67,2.46
6,Montpellier,Open Sud de France,2/2/2026,ATP250,Indoor,Hard,1st Round,3,Gea A.,Mpetshi G.,168,57,353,905,6,3,0,0,,,,,,,1,0,Retired,2.2,1.67,,,2.25,1.75,2.16,1.67,2.26,1.78
6,Montpellier,Open Sud de France,2/2/2026,ATP250,Indoor,Hard,1st Round,3,Bautista Agut R.,O Connell C.,89,119,670,511,5,7,6,3,7,5,,,,,2,1,Completed,1.67,2.2,,,1.68,2.4,1.62,2.24,1.68,2.42
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Carreno Busta P.,Kecmanovic M.,100,69,616,820,4,6,6,3,7,6,,,,,2,1,Completed,2.1,1.73,,,2.18,1.8,2.1,1.7,2.26,1.77
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Damm M.,Hurkacz H.,160,52,373,965,7,6,6,4,,,,,,,2,0,Completed,4,1.25,,,4.33,1.26,3.95,1.24,4.6,1.27
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Droguet T.,Choinski J.,150,125,403,498,6,2,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.32,3.75,1.3,3.43,1.34,3.75
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Humbert U.,Van De Zandschulp B.,38,67,1320,849,6,3,6,4,,,,,,,2,0,Completed,1.29,3.75,,,1.3,4.25,1.29,3.53,1.34,3.85
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Fils A.,Royer V.,42,56,1110,920,7,6,6,7,6,2,,,,,2,1,Completed,1.67,2.2,,,1.73,2.25,1.66,2.17,1.8,2.24
6,Montpellier,Open Sud de France,2/3/2026,ATP250,Indoor,Hard,1st Round,3,Blanchet U.,Vavassori A.,174,282,343,185,6,4,6,3,,,,,,,2,0,Completed,2.3,1.62,,,2.38,1.62,2.29,1.59,2.44,1.68
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,1st Round,3,Nardi L.,Basilashvili N.,106,137,571,464,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,,,1.65,2.3,1.62,2.23,1.72,2.36
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,1st Round,3,Kovacevic A.,Kouame M.,83,551,709,70,6,7,6,2,6,2,,,,,2,1,Completed,1.4,3,,,1.43,3,1.41,2.82,1.44,3.2
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,1st Round,3,Wawrinka S.,Medjedovic H.,113,80,537,717,7,6,6,4,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.56,2.54,1.5,2.88,1.52
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,2nd Round,3,Damm M.,Bautista Agut R.,160,89,373,670,6,1,6,3,,,,,,,2,0,Completed,1.67,2.2,,,1.7,2.25,1.65,2.17,1.71,2.38
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,2nd Round,3,Mannarino A.,Humbert U.,70,38,810,1320,6,7,6,3,7,6,,,,,2,1,Completed,5,1.17,,,5.5,1.19,4.78,1.17,5.3,1.22
6,Montpellier,Open Sud de France,2/4/2026,ATP250,Indoor,Hard,2nd Round,3,Gea A.,Machac T.,168,28,353,1610,6,3,4,5,,,,,,,1,0,Retired,2.75,1.44,,,2.9,1.44,2.78,1.42,3,1.49
6,Montpellier,Open Sud de France,2/5/2026,ATP250,Indoor,Hard,2nd Round,3,Droguet T.,Kovacevic A.,150,83,403,709,4,6,7,6,6,4,,,,,2,1,Completed,1.8,2,,,1.86,2.05,1.8,1.98,1.93,2.04
6,Montpellier,Open Sud de France,2/5/2026,ATP250,Indoor,Hard,2nd Round,3,Griekspoor T.,Carreno Busta P.,29,100,1565,616,6,4,6,4,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.3,1.63,2.23,1.71,2.38
6,Montpellier,Open Sud de France,2/5/2026,ATP250,Indoor,Hard,2nd Round,3,Nardi L.,Cobolli F.,106,20,571,1955,6,2,6,3,,,,,,,2,0,Completed,2.1,1.73,,,2.15,1.73,2.11,1.7,2.22,1.81
6,Montpellier,Open Sud de France,2/5/2026,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Wawrinka S.,8,113,3725,537,6,4,7,6,,,,,,,2,0,Completed,1.3,3.5,,,1.33,3.5,1.3,3.41,1.35,3.75
6,Montpellier,Open Sud de France,2/5/2026,ATP250,Indoor,Hard,2nd Round,3,Fils A.,Blanchet U.,42,174,1110,343,7,6,7,5,,,,,,,2,0,Completed,1.25,4,,,1.27,4.25,1.24,3.86,1.24,5
6,Montpellier,Open Sud de France,2/6/2026,ATP250,Indoor,Hard,Quarterfinals,3,Mannarino A.,Gea A.,70,168,810,353,5,7,6,4,6,4,,,,,2,1,Completed,2.1,1.73,,,2.15,1.75,2.1,1.71,2.2,1.8
6,Montpellier,Open Sud de France,2/6/2026,ATP250,Indoor,Hard,Quarterfinals,3,Damm M.,Nardi L.,160,106,373,571,6,3,7,6,,,,,,,2,0,Completed,,,,,1.8,2.06,1.77,2,1.88,2.12
6,Montpellier,Open Sud de France,2/6/2026,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Fils A.,8,42,3725,1110,6,4,6,2,,,,,,,2,0,Completed,1.5,2.63,,,1.52,2.65,1.49,2.57,1.57,2.7
6,Montpellier,Open Sud de France,2/6/2026,ATP250,Indoor,Hard,Quarterfinals,3,Droguet T.,Griekspoor T.,150,29,403,1565,7,6,7,6,,,,,,,2,0,Completed,2.5,1.53,,,2.55,1.55,2.38,1.53,2.72,1.57
6,Montpellier,Open Sud de France,2/7/2026,ATP250,Indoor,Hard,Semifinals,3,Mannarino A.,Damm M.,70,160,810,373,1,6,6,3,6,4,,,,,2,1,Completed,2.3,1.62,,,2.3,1.65,2.25,1.61,2.42,1.69
6,Montpellier,Open Sud de France,2/7/2026,ATP250,Indoor,Hard,Semifinals,3,Auger-Aliassime F.,Droguet T.,8,150,3725,403,6,4,6,7,6,1,,,,,2,1,Completed,1.22,4.33,,,1.25,4.75,1.21,4.26,1.24,5.1
